"Table Name (Schema 1)","Attributes (Schema 1)","Table Name (Schema 2)","Attributes (Schema 2)","Attribute Mapping"
"CUSTOMER","CUSTOMER,CLIENT_GROUP,CLIENT_GROUP_DESCRIPTION,CUSTOMER_NAME,CUSTOMER_NAME2,CUSTOMER_ADDR,CUSTOMER_ADDR2,CUSTOMER_CITY,CUSTOMER_STATE,CUSTOMER_ZIP,CHANGED,CHANGED_BY,SSN,FEDERAL_ID,STATE_ID,ACCOUNT_CAREOF,ACCOUNT_ADDR1,ACCOUNT_ADDR2,ACCOUNT_ADDR3,ACCOUNT_ADDR4,CLIENT_CAREOF","Customer","CustomerId,CustomerName,CustomerTypeId,OfficeCode,IsActive,CreatedBy,CreatedDate,UpdatedBy,UpdatedDate,CustomerNumber,Description,TIN,TCCNumber,UseMailingAddressAsPrimary,BusinessPartyId,DeactivatedDate,DeactivatedBy,IsZenithCustomer","CUSTOMER=CustomerId,CUSTOMER_NAME=CustomerName,CLIENT_GROUP=CustomerTypeId,CHANGED=UpdatedDate,CHANGED_BY=UpdatedBy,SSN=SSN,CLIENT_CAREOF=BusinessPartyId"
"CUSTOMER_SECURITY","USER_NAME,CUSTOMER,CURRENT_FLAG,EIN_CURRENT_FLAG","Entity","Id,EntityNumber,EnterpriseId,CustomerId,EntityName,CashOrAccuralBasisIndicator,IsActive,CreatedBy,CreatedDate,ModifiedBy,ModifiedDate,EntityAddress,PreferredCurrencyId,EIN,UseMailingAddressAsPrimary,BusinessPartyId,ChartOfAccountsNameId,EntityTypeId,CurrentFiscalYear,CurrentOpenPeriod,InceptionFicaslYear,InceptionFiscalPeriod,DeactivatedDate,DeactivatedBY,FinancialInstitutionId,DocumentId,SIN,SSN,Note,CalendarPatternNameId,EntityShortName,IsCascadeDeactivation","CUSTOMER=CustomerId,USER_NAME=EntityNumber,EIN_CURRENT_FLAG=EIN,CURRENT_FLAG=IsActive"
"DBFILE","CUSTOMER,CLIENT,DBFILE_RESOURCE,DBFILE_PATH,DBFILE_NAME,VERSION,DBFILE_ID,DBFILE_ENCODING,DESCRIPTION,KILOBYTES,CREATED,CREATED_BY","EntityHistory","HistoryId,EntityId,FieldName,OldValue,NewValue,ChangeType,ChangedBy,ChangedDate,ChangeReason,TransactionId","CUSTOMER=EntityId,CREATED=ChangedDate,CREATED_BY=ChangedBy"
"DOCUMENT_ID","CUSTOMER,DOCUMENT_COUNTER,BANK_REC_COUNTER","Entity","Id,EntityNumber,EnterpriseId,CustomerId,EntityName,CashOrAccuralBasisIndicator,IsActive,CreatedBy,CreatedDate,ModifiedBy,ModifiedDate,EntityAddress,PreferredCurrencyId,EIN,UseMailingAddressAsPrimary,BusinessPartyId,ChartOfAccountsNameId,EntityTypeId,CurrentFiscalYear,CurrentOpenPeriod,InceptionFicaslYear,InceptionFiscalPeriod,DeactivatedDate,DeactivatedBY,FinancialInstitutionId,DocumentId,SIN,SSN,Note,CalendarPatternNameId,EntityShortName,IsCascadeDeactivation","CUSTOMER=CustomerId,DOCUMENT_COUNTER=DocumentId"
